referer,status,url
http://localhost:1313/docs/,404,http://localhost:1313/docs/contribute
http://localhost:1313/docs/platform/migrate-to-linode/migrate-from-shared-hosting-to-linode/,404,http://localhost:1313/docs/search?q=phpmyadmin
http://localhost:1313/docs/development/frameworks/webpy-on-ubuntu-10-10-maverick/,404,http://localhost:1313/docs/websites/frameworks/webpy-on-ubuntu-12-04-precise-pangolin/ubuntu-10-04-lucid
http://localhost:1313/docs/web-servers/apache/run-php-applications-under-cgi-with-apache-on-ubuntu-9-10-karmic/,404,http://localhost:1313/docs/web-servers/apache/installation/ubuntu-9.10-karmic
http://localhost:1313/docs/web-servers/nginx/use-uwsgi-to-deploy-python-apps-with-nginx-on-ubuntu-12-04/,404,http://localhost:1313/docs/lemp-guides/ubuntu-12.04-precise-pangolin
http://localhost:1313/docs/web-servers/apache/apache-2-web-server-on-ubuntu-8-04-lts-hardy/,404,http://localhost:1313/docs/lamp-guides/ubuntu-8.04-hardy
http://localhost:1313/docs/web-servers/lemp/lemp-server-on-ubuntu-11-10-oneiric/,404,http://localhost:1313/docs/web-servers/nginx/python-uwsgi/ubuntu-11-10-maverick
http://localhost:1313/docs/web-servers/lemp/lemp-server-on-ubuntu-11-10-oneiric/,404,http://localhost:1313/docs/databases/postgresql/ubuntu-11-10-maverick
http://localhost:1313/docs/web-servers/lemp/lemp-server-on-ubuntu-11-10-oneiric/,404,http://localhost:1313/docs/web-servers/nginx/perl-fastcgi/ubuntu-11-10-natty
http://localhost:1313/docs/web-servers/lemp/lemp-server-on-ubuntu-11-10-oneiric/,404,http://localhost:1313/docs/web-servers/nginx/installation/ubuntu-10.04-lucid
http://localhost:1313/docs/uptime/monitoring/monitoring-servers-with-munin-on-ubuntu-11-04-natty/,404,http://localhost:1313/docs/web-servers/apache/installation/ubuntu-11-04-natty
http://localhost:1313/docs/web-servers/lemp/lemp-server-on-fedora-13/,404,http://localhost:1313/docs/web-servers/lemp/lemp-server-on-fedora-13/nginx-and-phpfastcgi-on-fedora-13
http://localhost:1313/docs/web-servers/lighttpd/lighttpd-web-server-on-ubuntu-9-10-karmic/,404,http://localhost:1313/docs/assets/599-example-lighttpd.conf
http://localhost:1313/docs/websites/wikis/ikiwiki-on-ubuntu-12-04-precise-pangolin/,404,http://localhost:1313/docs/websites/wikis/ikiwiki-on-ubuntu-12-04-precise-pangolin/ikiwiki.setup
http://localhost:1313/docs/websites/wikis/ikiwiki-on-ubuntu-9-10-karmic/,404,http://localhost:1313/docs/websites/wikis/ikiwiki-on-ubuntu-9-10-karmic/reference/ikiwiki.setup
http://localhost:1313/docs/websites/wikis/ikiwiki-on-debian-6-squeeze/,404,http://localhost:1313/docs/websites/wikis/ikiwiki-on-debian-6-squeeze/ikiwiki.yaml
http://localhost:1313/docs/web-servers/apache/apache-and-modwsgi-on-fedora-14/,404,http://localhost:1313/docs/web-servers/apache/apache-and-modwsgi-on-fedora-14/web-servers/apache/apache-and-modwsgi-on-fedora-14
http://localhost:1313/docs/web-servers/apache/apache-and-modwsgi-on-debian-5-lenny/,404,http://localhost:1313/docs/web-servers/apache/apache-and-modwsgi-on-debian-5-lenny/web-servers/apache/apache-and-modwsgi-on-debian-5-lenny
http://localhost:1313/docs/websites/cms/install-a-commercial-ssl-certificate-using-cpanel/,404,http://localhost:1313/docs/websites/cms/install-cpanel-on-centos
http://localhost:1313/docs/websites/cms/manage-web-content-with-flatpress/,404,http://localhost:1313/docs/websites/cms/manage-web-content-with-flatpress/docs/web-servers/apache/
http://localhost:1313/docs/websites/wikis/ikiwiki-on-fedora-13/,404,http://localhost:1313/docs/websites/wikis/ikiwiki-on-fedora-13/reference/ikiwiki.setup
http://localhost:1313/docs/websites/wikis/confluence-on-ubuntu-9-10-karmic/,404,http://localhost:1313/docs/websites/wikis/confluence-on-ubuntu-9-10-karmic/websites/wikis/confluence-on-ubuntu-9-10-karmic
http://localhost:1313/docs/websites/wikis/ikiwiki-on-fedora-12/,404,http://localhost:1313/docs/websites/wikis/ikiwiki-on-fedora-12/reference/ikiwiki.setup
http://localhost:1313/docs/development/version-control/how-to-unbundle-nginx-from-omnibus-gitlab-for-serving-multiple-websites/,404,http://localhost:1313/docs/applications/development/how-to-install-and-configure-gitlab-on-ubuntu-14-04-trusty-tahr%20%22How%20to%20Install%20and%20Configure%20GitLab%20on%20Ubuntu%2014.04%20(Trusty%20Tahr
http://localhost:1313/docs/development/frameworks/build-aspnetmono-applications-with-modmono-and-apache-on-debian-5-lenny/,404,http://localhost:1313/docs/development/frameworks/build-aspnetmono-applications-with-modmono-and-apache-on-debian-5-lenny/docs/web-servers/apache/apache-2-web-server-on-debian-5-lenny
http://localhost:1313/docs/databases/hadoop/how-to-install-and-set-up-hadoop-cluster/,404,http://localhost:1313/docs/databases/hadoop/how-to-install-and-set-up-hadoop-cluster/to/be/confirmed
